"id","title","url","latitude","longitude","is_correctly"
1,"Тамбов","https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC%D0%B1%D0%BE%D0%B2",52.71666666666667,41.43333333333333,1
2,"Лесной Тамбов","https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D1%81%D0%BD%D0%BE%D0%B9_%D0%A2%D0%B0%D0%BC%D0%B1%D0%BE%D0%B2",52.53861111111111,41.489444444444445,1
3,"Казанский монастырь (Тамбов)","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B7%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%BC%D0%BE%D0%BD%D0%B0%D1%81%D1%82%D1%8B%D1%80%D1%8C_(%D0%A2%D0%B0%D0%BC%D0%B1%D0%BE%D0%B2)",52.72055555555555,41.46,1
4,"Тамбов I","https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC%D0%B1%D0%BE%D0%B2_I",52.71888888888889,41.42833333333333,1
5,"Нару-Тамбов","https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%80%D1%83-%D0%A2%D0%B0%D0%BC%D0%B1%D0%BE%D0%B2",52.521388888888886,41.53638888888889,1
6,"Спартак (стадион, Тамбов)","https://ru.wikipedia.org/wiki/%D0%A1%D0%BF%D0%B0%D1%80%D1%82%D0%B0%D0%BA_(%D1%81%D1%82%D0%B0%D0%B4%D0%B8%D0%BE%D0%BD,_%D0%A2%D0%B0%D0%BC%D0%B1%D0%BE%D0%B2)",52.72805555555556,41.4525,1
7,"Тамбах-Дитарц","https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC%D0%B1%D0%B0%D1%85-%D0%94%D0%B8%D1%82%D0%B0%D1%80%D1%86",50.78972222222222,10.616666666666667,1
8,"Набережная улица (Тамбов)","https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%B1%D0%B5%D1%80%D0%B5%D0%B6%D0%BD%D0%B0%D1%8F_%D1%83%D0%BB%D0%B8%D1%86%D0%B0_(%D0%A2%D0%B0%D0%BC%D0%B1%D0%BE%D0%B2)",52.709722222222226,41.47361111111111,1
9,"Донское (аэропорт)","https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BD%D1%81%D0%BA%D0%BE%D0%B5_(%D0%B0%D1%8D%D1%80%D0%BE%D0%BF%D0%BE%D1%80%D1%82)",52.805,41.483333333333334,1
10,"Коммунальная улица (Тамбов)","https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BC%D0%BC%D1%83%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F_%D1%83%D0%BB%D0%B8%D1%86%D0%B0_(%D0%A2%D0%B0%D0%BC%D0%B1%D0%BE%D0%B2)",52.72277777777778,41.448611111111106,1
